"name","avg_partnum"
"The Two Towers","869.20"
"Order of the Phoenix","904.00"
"Building","919.91"
"Traffic","1001.54"
"Recreation","1066.00"
"Star Wars Episode 3","1084.00"
"Harbor","1279.00"
"Mini","1358.00"
"FIRST LEGO League","1387.00"
"Creator","1437.00"
"Ultimate Collector Series","1455.50"
"Sculptures","1716.70"
"Town Plan","2017.00"
"Mosaic","2099.86"
"Ultimate Collector Series","2130.00"
"Star Wars Episode 4/5/6","2199.71"
"Modular Buildings","2350.58"
"Disney","4060.00"
